# Base WGDC - pilot map
# Address: 0x2480
# Size: 10x16

0,0,0,0,0,0,0,12,31,35,35,35,35,35,35,35
4,4,4,4,4,4,4,19,44,56,56,58,60,60,61,61
8,8,8,8,8,8,8,29,60,73,77,79,83,83,84,84
12,12,12,12,12,12,12,35,67,83,108,111,123,123,123,123
15,13,13,13,13,13,13,50,88,104,131,134,134,134,134,134
35,35,35,35,35,35,35,69,106,129,132,156,157,159,169,169
60,60,60,60,60,60,60,73,125,175,184,186,188,188,188,182
100,104,104,104,104,104,104,132,161,186,188,188,188,188,188,188
131,131,132,144,169,179,173,161,154,188,188,190,190,190,190,190
131,131,132,144,169,179,173,161,154,188,188,190,190,190,190,190
